movie_id,person_category,person_name,person_id
20193344,actor,이은미,20069003
20193287,director,이동준,20345612
20191512,actor,하타노 유이,10087314
20197142,director,박은석,20302969
20193118,director,제임스 오,10064244
20191946,director,윤준세,20326937
20191877,director,최성길,20332522
20190816,director,다니엘 지릴리,20173652
20190816,actor,루크 고스,10018907
20190816,actor,제이 모어,10063416
20190845,director,루이자 워렌,10025573
20192904,director,이숭환,10056203
20190807,director,김태수,20272149
20192909,director,리차드 킴,20332272
20192908,director,리차드 킴,20332272
20196325,director,김환,20327252
20195538,director,최우성,20223066
20191964,director,이동준,20345612
20191531,director,앤드류 존스,10045933
20191424,director,나기라 겐조,10006724
20191424,actor,아키야마 쇼코,10042660
20196297,director,김환,20327252
20196297,actor,이은미,20069003
20196297,actor,한석봉,20298479
20196297,actor,민도윤,20223067
20196272,director,롤랜드 에머리히,10018115
20196272,actor,에드 스크레인,10082878
20196272,actor,패트릭 윌슨,10082678
20196272,actor,우디 해럴슨,10052042
20196272,actor,루크 에반스,20129264
20196272,actor,아사노 타다노부,10042114
20196272,actor,닉 조나스,10008969
20198829,director,박주영,20323268
20198829,actor,정제원,20323372
20198829,actor,김보라,20125801
20198027,director,윤준세,20326937
20191879,director,윤준세,20326937
20191665,director,정양광,20345592
20191533,director,최성길,20332522
20199781,director,이수성,10056145
20199781,actor,이원준,20333145
20199781,actor,송민경,20313951
20183662,director,조태호,20293149
20184770,director,조태호,20293149
20191505,director,원명준,10052460
20175214,director,허안화,10088392
20175214,actor,주신,10061194
20175214,actor,펑위옌,10082856
20175214,actor,곽건화,10052544
20191876,director,최성길,20332522
20191384,director,소재현,20324972
20191384,actor,박두식,20324992
20191384,actor,임이지,20324993
20191384,actor,고유안,20324994
20190212,director,한동호,20189680
20192483,director,김종민,20308771
20192483,actor,안소희,20234949
20189732,director,임현태,20295737
20185428,director,조태호,20293149
20185428,actor,설영,20312612
20190689,director,나카타 히데오,10007255
20191063,director,조니 마틴,10065540
20191063,actor,라이언 핑크스톤,10014066
20185529,director,김이슬,20312493
20185529,actor,박주빈,20244309
20185529,actor,도모세,20234627
20191971,director,김덕,20326472
20191970,director,이두희,20273429
20190164,director,박균이,20334868
20190164,actor,오창석,20214387
20190164,actor,서우,10035507
20197108,director,박은석,20302969
20191708,director,윤준세,20326937
20191046,director,김석만,20293591
20190857,director,서초,10000272
20197519,director,황송,10073112
20190812,director,숀 쿠,10037419
20190812,actor,니콜라스 케이지,10008729
20190812,actor,벤자민 브랫,10031239
20190015,director,정진호,20279629
20198182,director,김하라,20331974
20198182,actor,이시언,20161740
20198182,actor,안내상,10042972
20198182,actor,왕지혜,10027861
20191144,actor,유우키 미사,10051724
20194944,director,정진호,20279629
20193670,director,최우성,20223066
20190705,director,최성은,20331986
20198902,director,정야광,20345572
20199434,director,피터 첼섬,10085993
20199434,director,틸 슈바이거,10081718
20199434,director,다이아나 애그론,20169808
20199434,director,데니스 간젤,10010703
20199434,director,마시 태지딘,20112377
20199434,director,대니 레비,10010173
20199434,actor,키이라 나이틀리,10078551
20199434,actor,헬렌 미렌,10088888
20199434,actor,짐 스터게스,10070946
20199434,actor,미키 루크,10027673
20199434,actor,패트릭 뎀시,10082575
20199434,actor,디에고 루나,10013440
20199434,actor,짐 스터게스,10070946
20197962,director,파티 아킨,10082359
